,weight,height,id,name,bred_for,breed_group,life_span,temperament,origin,reference_image_id,country_code,description,history
22,"{'imperial': '14 - 16', 'metric': '6 - 7'}","{'imperial': '10 - 11', 'metric': '25 - 28'}",24,Australian Terrier,"Cattle herdering, hunting snakes and rodents",Terrier,15 years,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",,r1Ylge5Vm,AU,,
23,"{'imperial': '33 - 55', 'metric': '15 - 25'}","{'imperial': '23 - 29', 'metric': '58 - 74'}",25,Azawakh,"Livestock guardian, hunting",Hound,10 - 13 years,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",,SkvZgx94m,,,
24,"{'imperial': '40 - 65', 'metric': '18 - 29'}","{'imperial': '20 - 26', 'metric': '51 - 66'}",26,Barbet,Hunting water game,,13 – 15 years,"Obedient, Companionable, Intelligent, Joyful",,HyWGexcVQ,,,
25,"{'imperial': '22 - 24', 'metric': '10 - 11'}","{'imperial': '16 - 17', 'metric': '41 - 43'}",28,Basenji,Hunting,Hound,10 - 12 years,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",,H1dGlxqNQ,,,
26,"{'imperial': '35 - 40', 'metric': '16 - 18'}","{'imperial': '13 - 15', 'metric': '33 - 38'}",29,Basset Bleu de Gascogne,Hunting on foot.,Hound,10 - 14 years,"Affectionate, Lively, Agile, Curious, Happy, Active",,BkMQll94X,,,
27,"{'imperial': '50 - 65', 'metric': '23 - 29'}","{'imperial': '14', 'metric': '36'}",30,Basset Hound,Hunting by scent,Hound,12 - 15 years,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",,Sy57xx9EX,,,
28,"{'imperial': '20 - 35', 'metric': '9 - 16'}","{'imperial': '13 - 15', 'metric': '33 - 38'}",31,Beagle,"Rabbit, hare hunting",Hound,13 - 16 years,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",,Syd4xxqEm,,,
29,"{'imperial': '45 - 55', 'metric': '20 - 25'}","{'imperial': '20 - 22', 'metric': '51 - 56'}",32,Bearded Collie,Sheep herding,Herding,12 - 14 years,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",,A09F4c1qP,,,
30,"{'imperial': '80 - 110', 'metric': '36 - 50'}","{'imperial': '24 - 27.5', 'metric': '61 - 70'}",33,Beauceron,"Boar herding, hunting, guarding",Herding,10 - 12 years,"Fearless, Friendly, Intelligent, Protective, Calm",,HJQ8ge5V7,,,
31,"{'imperial': '17 - 23', 'metric': '8 - 10'}","{'imperial': '15 - 16', 'metric': '38 - 41'}",34,Bedlington Terrier,"Killing rat, badger, other vermin",Terrier,14 - 16 years,"Affectionate, Spirited, Intelligent, Good-tempered",,ByK8gx947,,,
32,"{'imperial': '40 - 80', 'metric': '18 - 36'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",36,Belgian Malinois,Stock herding,Herding,12 - 14 years,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",,r1f_ll5VX,,,
33,"{'imperial': '40 - 65', 'metric': '18 - 29'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",38,Belgian Tervuren,"Guarding, Drafting, Police work.",Herding,10 - 12 years,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",,B1KdxlcNX,,,
34,"{'imperial': '65 - 120', 'metric': '29 - 54'}","{'imperial': '23 - 27.5', 'metric': '58 - 70'}",41,Bernese Mountain Dog,Draft work,Working,7 - 10 years,"Affectionate, Loyal, Intelligent, Faithful",,S1fFlx5Em,,,
35,"{'imperial': '10 - 18', 'metric': '5 - 8'}","{'imperial': '9.5 - 11.5', 'metric': '24 - 29'}",42,Bichon Frise,Companion,Non-Sporting,15 years,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",,HkuYlxqEQ,,,
36,"{'imperial': '65 - 100', 'metric': '29 - 45'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",43,Black and Tan Coonhound,"Hunting raccoons, night hunting",Hound,10 - 12 years,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",,HJAFgxcNQ,,,
37,"{'imperial': '80 - 110', 'metric': '36 - 50'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",45,Bloodhound,Trailing,Hound,8 - 10 years,"Stubborn, Affectionate, Gentle, Even Tempered",,Skdcgx9VX,,,
38,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '21 - 27', 'metric': '53 - 69'}",47,Bluetick Coonhound,Hunting with a superior sense of smell.,Hound,12 - 14 years,"Friendly, Intelligent, Active",,rJxieg9VQ,,,
39,"{'imperial': '110 - 200', 'metric': '50 - 91'}","{'imperial': '22 - 27', 'metric': '56 - 69'}",48,Boerboel,"Guarding the homestead, farm work.",Working,10 - 12 years,"Obedient, Confident, Intelligent, Dominant, Territorial",,HyOjge5Vm,,,
40,"{'imperial': '30 - 45', 'metric': '14 - 20'}","{'imperial': '18 - 22', 'metric': '46 - 56'}",50,Border Collie,Sheep herder,Herding,12 - 16 years,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",,sGQvQUpsp,,,
41,"{'imperial': '11.5 - 15.5', 'metric': '5 - 7'}","{'imperial': '11 - 16', 'metric': '28 - 41'}",51,Border Terrier,"Fox bolting, ratting",Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",,HJOpge9Em,,,
42,"{'imperial': '10 - 25', 'metric': '5 - 11'}","{'imperial': '16 - 17', 'metric': '41 - 43'}",53,Boston Terrier,"Ratting, Companionship",Non-Sporting,11 - 13 years,"Friendly, Lively, Intelligent",,rkZRggqVX,,,
43,"{'imperial': '70 - 110', 'metric': '32 - 50'}","{'imperial': '23.5 - 27.5', 'metric': '60 - 70'}",54,Bouvier des Flandres,Cattle herding,Herding,10 - 15 years,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",,Byd0xl5VX,,,
44,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '21.5 - 25', 'metric': '55 - 64'}",55,Boxer,"Bull-baiting, guardian",Working,8 - 10 years,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",,ry1kWe5VQ,,,
45,"{'imperial': '25 - 40', 'metric': '11 - 18'}","{'imperial': '14 - 18', 'metric': '36 - 46'}",56,Boykin Spaniel,Turkey retrieving,Sporting,10 - 14 years,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",,ryHJZlcNX,,,
46,"{'imperial': '55 - 88', 'metric': '25 - 40'}","{'imperial': '21.5 - 26.5', 'metric': '55 - 67'}",57,Bracco Italiano,Versatile gun dog,Sporting,10 - 12 years,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",,S13yZg5VQ,,,
47,"{'imperial': '70 - 90', 'metric': '32 - 41'}","{'imperial': '22 - 27', 'metric': '56 - 69'}",58,Briard,"Herding, guarding sheep",Herding,10 - 12 years,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",,rkVlblcEQ,,,
48,"{'imperial': '30 - 45', 'metric': '14 - 20'}","{'imperial': '17.5 - 20.5', 'metric': '44 - 52'}",59,Brittany,"Pointing, retrieving",Sporting,12 - 14 years,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",,HJWZZxc4X,,,
49,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '21 - 22', 'metric': '53 - 56'}",61,Bull Terrier,"Bull baiting, Fighting",Terrier,10 - 12 years,"Trainable, Protective, Sweet-Tempered, Keen, Active",,VSraIEQGd,,,
50,"{'imperial': '25 - 33', 'metric': '11 - 15'}","{'imperial': '10 - 14', 'metric': '25 - 36'}",62,Bull Terrier (Miniature),An elegant man's fashion statement,,11 – 14 years,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",,BkKZWlcVX,,,
51,"{'imperial': '100 - 130', 'metric': '45 - 59'}","{'imperial': '24 - 27', 'metric': '61 - 69'}",64,Bullmastiff,Estate guardian,Working,8 - 12 years,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",,r1ifZl5E7,,,
52,"{'imperial': '13 - 14', 'metric': '6 - 6'}","{'imperial': '9 - 10', 'metric': '23 - 25'}",65,Cairn Terrier,"Bolting of otter, foxes, other vermin",Terrier,14 - 15 years,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",,Sk7Qbg9E7,,,
53,"{'imperial': '88 - 120', 'metric': '40 - 54'}","{'imperial': '23.5 - 27.5', 'metric': '60 - 70'}",67,Cane Corso,"Companion, guard dog, and hunter",Working,10 - 11 years,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",,r15m-lc4m,,,
54,"{'imperial': '25 - 38', 'metric': '11 - 17'}","{'imperial': '10.5 - 12.5', 'metric': '27 - 32'}",68,Cardigan Welsh Corgi,Cattle droving,Herding,12 - 14 years,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",,SyXN-e9NX,,,
55,"{'imperial': '50 - 95', 'metric': '23 - 43'}","{'imperial': '20 - 26', 'metric': '51 - 66'}",69,Catahoula Leopard Dog,Driving livestock,Herding,10 - 12 years,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",,BJcNbec4X,,,
56,"{'imperial': '80 - 100', 'metric': '36 - 45'}","{'imperial': '24 - 33.5', 'metric': '61 - 85'}",70,Caucasian Shepherd (Ovcharka),"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",Working,10 - 12 years,"Alert, Quick, Dominant, Powerful, Calm, Strong",,r1rrWe5Em,,,
57,"{'imperial': '13 - 18', 'metric': '6 - 8'}","{'imperial': '12 - 13', 'metric': '30 - 33'}",71,Cavalier King Charles Spaniel,"Flushing small birds, companion",Toy,10 - 14 years,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",,HJRBbe94Q,,,
58,"{'imperial': '55 - 80', 'metric': '25 - 36'}","{'imperial': '21 - 26', 'metric': '53 - 66'}",76,Chesapeake Bay Retriever,Water Retriever,Sporting,10 - 13 years,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",,9BXwUeCc2,,,
59,"{'imperial': '10 - 13', 'metric': '5 - 6'}","{'imperial': '11 - 13', 'metric': '28 - 33'}",78,Chinese Crested,"Ratting, lapdog, curio",Toy,10 - 14 years,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",,B1pDZx9Nm,,,
60,"{'imperial': '45 - 60', 'metric': '20 - 27'}","{'imperial': '18 - 20', 'metric': '46 - 51'}",79,Chinese Shar-Pei,Fighting,Non-Sporting,10 years,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",,B1ruWl94Q,,,
61,"{'imperial': '50 - 90', 'metric': '23 - 41'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",80,Chinook,Sled pulling,Working,12 - 15 years,"Friendly, Alert, Dignified, Intelligent, Calm",,Sypubg54Q,,,
62,"{'imperial': '40 - 70', 'metric': '18 - 32'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",81,Chow Chow,"Guardian, cart pulling, hunting",Non-Sporting,12 - 15 years,"Aloof, Loyal, Independent, Quiet",,ry8KWgqEQ,,,
63,"{'imperial': '55 - 85', 'metric': '25 - 39'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",84,Clumber Spaniel,"Bird flushing, retrieving",Sporting,10 - 12 years,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",,rkeqWgq4Q,,,
64,"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '14 - 15', 'metric': '36 - 38'}",86,Cocker Spaniel,"Bird flushing, retrieving",Sporting,12 - 15 years,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",,1lFmrzECl,,,
65,"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '14 - 15', 'metric': '36 - 38'}",87,Cocker Spaniel (American),Hunting the American woodcock,Sporting,12 - 15 years,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",,HkRcZe547,,,
66,"{'imperial': '9 - 15', 'metric': '4 - 7'}","{'imperial': '9 - 11', 'metric': '23 - 28'}",89,Coton de Tulear,"Accompanying ladies on long sea voyages, ratters onboard ship.",Non-Sporting,13 - 16 years,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",,SyviZlqNm,,,
67,"{'imperial': '50 - 55', 'metric': '23 - 25'}","{'imperial': '19 - 23', 'metric': '48 - 58'}",92,Dalmatian,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,Non-Sporting,10 - 13 years,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",,SkJ3blcN7,,,
68,"{'imperial': '66 - 88', 'metric': '30 - 40'}","{'imperial': '24 - 28', 'metric': '61 - 71'}",94,Doberman Pinscher,Guardian,Working,10 years,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",,HyL3bl94Q,,,
69,"{'imperial': '80 - 100', 'metric': '36 - 45'}","{'imperial': '23.5 - 27', 'metric': '60 - 69'}",95,Dogo Argentino,Big-game hunting,Working,10 - 12 years,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",,S1nhWx94Q,,,
70,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '22 - 24.5', 'metric': '56 - 62'}",98,Dutch Shepherd,"Farms, watchdog, guard duty",,15 years,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",,BkE6Wg5E7,,,
71,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '24 - 25', 'metric': '61 - 64'}",101,English Setter,"Bird setting, retrieving",Sporting,12 years,"Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",,By4A-eqVX,,,
72,"{'imperial': '44 - 66', 'metric': '20 - 30'}","{'imperial': '18 - 23', 'metric': '46 - 58'}",102,English Shepherd,"Herding & guarding livestock, farm watch dog",Working,10 - 13 years,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",,H1QyMe5EQ,,,
73,"{'imperial': '35 - 50', 'metric': '16 - 23'}","{'imperial': '19 - 20', 'metric': '48 - 51'}",103,English Springer Spaniel,"Bird flushing, retrieving",Sporting,12 - 14 years,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",,Hk0Jfe5VQ,,,
74,"{'imperial': '8 - 14', 'metric': '4 - 6'}","{'imperial': '10', 'metric': '25'}",104,English Toy Spaniel,Companion of kings,Toy,10 - 12 years,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",,SkIgzxqNQ,,,
75,"{'imperial': '6 - 8', 'metric': '3 - 4'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",105,English Toy Terrier,Rat-baiting,,12 - 13 years,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",,SJ6eMxqEQ,,,
76,"{'imperial': '40 - 70', 'metric': '18 - 32'}","{'imperial': '20.5 - 23.5', 'metric': '52 - 60'}",107,Eurasier,Companionship,Non-Sporting,12 - 14 years,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",,S1VWGx9Nm,,,
77,"{'imperial': '35 - 50', 'metric': '16 - 23'}","{'imperial': '17 - 18', 'metric': '43 - 46'}",108,Field Spaniel,"Bird flushing, retrieving",Sporting,11 - 15 years,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",,SkJfGecE7,,,
78,"{'imperial': '33 - 53', 'metric': '15 - 24'}","{'imperial': '16 - 21', 'metric': '41 - 53'}",110,Finnish Lapphund,Herding reindeer,Herding,12 - 15 years,"Friendly, Keen, Faithful, Calm, Courageous",,S1KMGg5Vm,,,
79,"{'imperial': '23 - 28', 'metric': '10 - 13'}","{'imperial': '15.5 - 20', 'metric': '39 - 51'}",111,Finnish Spitz,"Hunting birds, small mammals",Non-Sporting,12 - 15 years,"Playful, Loyal, Independent, Intelligent, Happy, Vocal",,3PjHlQbkV,,,
80,"{'imperial': '28', 'metric': '13'}","{'imperial': '11 - 12', 'metric': '28 - 30'}",113,French Bulldog,Lapdog,Non-Sporting,9 - 11 years,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright",,HyWNfxc47,,,
81,"{'imperial': '25 - 45', 'metric': '11 - 20'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",114,German Pinscher,"Watchdog, Hunting vermin on the farm.",Working,12 - 14 years,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",,B1u4zgqE7,,,
82,"{'imperial': '50 - 90', 'metric': '23 - 41'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",115,German Shepherd Dog,"Herding, Guard dog",Herding,10 - 13 years,"Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",,SJyBfg5NX,,,
83,"{'imperial': '45 - 70', 'metric': '20 - 32'}","{'imperial': '21 - 25', 'metric': '53 - 64'}",116,German Shorthaired Pointer,General hunting,Sporting,12 - 14 years,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",,SJqBMg5Nm,,,
84,"{'imperial': '65 - 90', 'metric': '29 - 41'}","{'imperial': '23.5 - 27.5', 'metric': '60 - 70'}",119,Giant Schnauzer,"Herding, guarding",Working,10 - 12 years,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",,H1NIzlcV7,,,
85,"{'imperial': '32 - 40', 'metric': '15 - 18'}","{'imperial': '12.5 - 14', 'metric': '32 - 36'}",120,Glen of Imaal Terrier,"Rid the home and farm of vermin, and hunt badger and fox",Terrier,12 - 15 years,"Spirited, Agile, Loyal, Gentle, Active, Courageous",,H1oLMe94m,,,
86,"{'imperial': '55 - 75', 'metric': '25 - 34'}","{'imperial': '21.5 - 24', 'metric': '55 - 61'}",121,Golden Retriever,Retrieving,Sporting,10 - 12 years,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",,HJ7Pzg5EQ,,,
87,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",123,Gordon Setter,Find and point gamebirds,Sporting,10 - 12 years,"Fearless, Alert, Loyal, Confident, Gay, Eager",,SJ5vzx5NX,,,
88,"{'imperial': '110 - 190', 'metric': '50 - 86'}","{'imperial': '28 - 32', 'metric': '71 - 81'}",124,Great Dane,"Hunting & holding boars, Guardian",Working,7 - 10 years,"Friendly, Devoted, Reserved, Gentle, Confident, Loving",,B1Edfl9NX,,,
89,"{'imperial': '85 - 115', 'metric': '39 - 52'}","{'imperial': '25 - 32', 'metric': '64 - 81'}",125,Great Pyrenees,Sheep guardian,Working,10 - 12 years,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",,B12uzg9V7,,,
90,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '27 - 30', 'metric': '69 - 76'}",127,Greyhound,Coursing hares,Hound,10 - 13 years,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",,ryNYMx94X,,,
91,"{'imperial': '12', 'metric': '5'}","{'imperial': '9 - 11', 'metric': '23 - 28'}",128,Griffon Bruxellois,Hunt and kill vermin in stables,,10 – 15 years,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",,ryoYGec4Q,,,
92,"{'imperial': '40 - 60', 'metric': '18 - 27'}","{'imperial': '18 - 22', 'metric': '46 - 56'}",129,Harrier,Hunting hares by trailing them,Hound,12 - 15 years,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",,B1IcfgqE7,,,
93,"{'imperial': '7 - 13', 'metric': '3 - 6'}","{'imperial': '8.5 - 11.5', 'metric': '22 - 29'}",130,Havanese,Companionship,Toy,14 - 15 years,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",,rkXiGl9V7,,,
94,"{'imperial': '35 - 70', 'metric': '16 - 32'}","{'imperial': '24 - 27', 'metric': '61 - 69'}",134,Irish Setter,"Bird setting, retrieving",Sporting,10 - 11 years,"Affectionate, Energetic, Lively, Independent, Playful, Companionable",,S1osGeqVm,,,
95,"{'imperial': '25 - 27', 'metric': '11 - 12'}","{'imperial': '18', 'metric': '46'}",135,Irish Terrier,,Terrier,12 - 16 years,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",,By-hGecVX,,,
96,"{'imperial': '105 - 180', 'metric': '48 - 82'}","{'imperial': '30 - 35', 'metric': '76 - 89'}",137,Irish Wolfhound,"Coursing wolves, elk",Hound,6 - 8 years,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",,Hyd2zgcEX,,,
97,"{'imperial': '7 - 15', 'metric': '3 - 7'}","{'imperial': '13 - 15', 'metric': '33 - 38'}",138,Italian Greyhound,Lapdog,Toy,12 - 15 years,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",,SJAnzg9NX,,,
98,"{'imperial': '4 - 9', 'metric': '2 - 4'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",140,Japanese Chin,Lapdog,Toy,12 - 14 years,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",,r1H6feqEm,,,
99,"{'imperial': '15 - 19', 'metric': '7 - 9'}","{'imperial': '12 - 15', 'metric': '30 - 38'}",141,Japanese Spitz,Companion,,10 – 16 years,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",,HksaMxqNX,,,
